1,Errick,Heighway,eheighway0@acquirethisname.com,1047 South Center,CY40 8309 5133 OBVW HGZ7 KG6A DZRM,"$68,815.89 ",q6OqrUJ3CHg,
2,Ginny,Keling,gkeling1@moonfruit.com,7 Melody Hill,PT15 0236 0669 0274 0332 5553 4,"$50,384.39 ",i4W8y3pYp6Fr,
3,Samson,Woltering,swoltering2@microsoft.com,1495 Dennis Road,BR33 0956 4994 1879 0248 9339 759B A,"$44,620.31 ",2mvtT7BP349,
4,Donny,Epgrave,depgrave3@businessinsider.com,874 4th Crossing,BR35 5261 6267 7942 9541 4220 486J Z,"$71,829.64 ",0KO8H3Laq,
5,Marje,Haszard,mhaszard4@ucoz.com,303 Oakridge Street,SA53 44SE WUQS X86V CXR3 E2OX,"$24,928.60 ",bbvaYb,
6,Austin,Storre,astorre5@bbc.co.uk,0001 Service Alley,ES69 1139 5366 0072 1079 5061,"$8,105.24 ",v3Iw4dLp,
7,Bibbie,Forryan,bforryan6@princeton.edu,4472 Londonderry Avenue,SM19 F994 3845 055E JIAW LNNP C3M,"$67,040.42 ",ikKHbTX69ewm,
8,Trescha,Bromley,tbromley7@intel.com,0 Debra Trail,AZ56 MBCJ ONM9 OZCH TGHG OVV2 OUVE,"$8,481.36 ",2AmjvKk,
9,Gabrielle,Rosi,grosi8@wired.com,592 Duke Point,VG62 LYRU 6057 3626 6743 0228,"$75,303.36 ",gwAYNrBx,
10,Fernanda,Gozzard,fgozzard9@live.com,19379 Shoshone Place,FR28 3605 7316 07PQ PLAD UMRZ 618,"$54,700.80 ",YT9u8Bd,
11,Kelcy,Decroix,kdecroixa@webeden.co.uk,16 Portage Court,CH43 7747 5YCO DC5E FWFV G,"$28,053.12 ",AhaDXptAKVU,
12,Karly,Edland,kedlandb@icq.com,55 Mccormick Junction,HU44 2385 5124 6126 9311 8829 6287,"$8,074.07 ",lpT212A5eRgM,
13,Herby,Cammis,hcammisc@amazon.de,7998 Mendota Terrace,SK86 7909 3771 4565 7633 7086,"$35,071.73 ",5tjPg4xhGfMA,
14,Fay,Fayter,ffayterd@bloglines.com,075 Independence Street,TR18 1810 7ZHS VOBJ WB2Q CXSN WB,"$29,792.20 ",du9Zha,
15,Emmit,Tilmouth,etilmouthe@google.co.uk,8 Jenifer Way,CY98 5405 5609 IYON YHUQ M5EJ ICAR,"$94,121.18 ",u0YStSG,
16,Cassandre,McGeachey,cmcgeacheyf@pen.io,88 Morrow Lane,IL79 8201 5937 6762 0639 530,"$40,143.31 ",LhaA0e,
17,Kimberley,Verrall,kverrallg@yahoo.com,01 Debs Drive,FR83 6677 9375 89DL JAZF TKO3 Q62,"$16,759.95 ",rNfryi7,
18,Mallissa,Balfour,mbalfourh@google.fr,6003 Eagle Crest Place,MU42 FYPF 8729 6611 1758 6364 000A HU,"$61,027.51 ",zJfo5sLYpITg,
19,Guido,Yokel,gyokeli@ow.ly,681 Towne Lane,GL50 9186 9066 0102 45,"$19,816.57 ",gz5WocYe3,
20,Preston,Enrique,penriquej@ihg.com,234 Dryden Trail,BG47 PFJD 7069 37UZ SPIN UL,"$81,988.48 ",znVQFG,
21,Gwenore,Scud,gscudk@ycombinator.com,3 Almo Junction,SK55 5025 3149 3749 1715 7498,"$39,138.40 ",dTEF1fm,
22,Marni,Edwin,medwinl@nydailynews.com,788 Dottie Alley,FR08 2555 3172 45ZD E1HW BBSP F55,"$83,214.01 ",VHFCViGHktv,
23,Wildon,Zellick,wzellickm@admin.ch,2 Beilfuss Crossing,LI86 5550 93IT 7YZ1 UP6A X,"$53,817.02 ",CPBJCA,
